,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,8,genre,kind
8,9,mois,month
9,10,frère,brother
10,11,laisser,let
11,12,car,because
12,13,mettre,to put
13,14,aucun,no
14,15,laisse,leash
15,16,eux,them
16,17,ville,city
17,18,chaque,each
18,19,parlé,speak
19,20,arrivé,come
20,21,bébé,baby
21,22,longtemps,long time
22,23,heures,hours
23,24,vont,will
24,25,pendant,while
25,26,revoir,meet again
26,27,aucune,any
27,28,place,square
28,29,parle,speak
29,30,compris,understood
30,31,savais,knew
31,32,étaient,were
32,33,attention,Warning
33,34,voici,here is
34,35,pourrais,could
35,36,affaire,case
36,37,donner,give
37,38,type,type
38,39,leurs,their
39,41,train,train
40,43,endroit,place
41,45,façon,way
42,46,écoute,listen
43,47,dont,whose
44,48,trouve,find
45,49,premier,first
46,50,perdu,lost
47,51,main,hand
48,53,côté,side
49,54,pouvoir,power
50,55,vieux,old
51,56,sois,be
52,57,tiens,here
53,58,matin,morning
54,59,tellement,so much
55,60,enfant,child
56,61,point,point
57,62,venu,came
58,63,suite,after
59,64,pardon,sorry
60,65,venez,come
61,66,devant,in front of
62,67,vers,towards
63,68,minutes,minutes
64,69,demandé,request
65,70,chambre,bedroom
66,71,mis,placed
67,73,droit,law
68,74,aimerais,would like to
69,75,aujourd'hui,today
70,76,mari,husband
71,77,cause,cause
72,78,enfin,finally
73,80,eau,water
74,81,parti,left
75,82,nouvelle,new
76,83,boulot,job
77,84,arrêter,Stop
78,85,dirait,would say
79,86,terre,Earth
80,88,donne,given
81,89,loin,far
82,91,croire,believe
83,92,chérie,sweetheart
84,93,gros,large
85,95,aura,will have
86,96,jouer,to play
87,97,bureau,office
